timestamp_us,opcode,latency_us,bytes_sent,bytes_recv,cache
1762970907409051,READ,0,0,0,hit
1762970907409113,READ,0,0,0,hit
1762970907409175,READ,0,0,0,hit
1762970907409238,READ,0,0,0,hit
1762970907409300,READ,0,0,0,hit
1762970907409363,READ,0,0,0,hit
1762970907409426,READ,0,0,0,hit
1762970907409489,READ,0,0,0,hit
1762970907409552,READ,0,0,0,hit
1762970907409615,READ,0,0,0,hit
1762970907409676,READ,0,0,0,hit
1762970907409739,READ,0,0,0,hit
1762970907409802,READ,0,0,0,hit
1762970907409863,READ,0,0,0,hit
1762970907409924,READ,0,0,0,hit
1762970907409987,READ,0,0,0,hit
1762970907410060,READ,0,0,0,hit
1762970907410124,READ,0,0,0,hit
1762970907410186,READ,0,0,0,hit
1762970907410249,READ,0,0,0,hit
1762970907410312,READ,0,0,0,hit
1762970907410375,READ,0,0,0,hit
1762970907410438,READ,0,0,0,hit
1762970907410503,READ,0,0,0,hit
1762970907410566,READ,0,0,0,hit
1762970907410628,READ,0,0,0,hit
1762970907410693,READ,0,0,0,hit
1762970907410755,READ,0,0,0,hit
1762970907410818,READ,0,0,0,hit
1762970907410881,READ,0,0,0,hit
1762970907410944,READ,0,0,0,hit
1762970907411007,READ,0,0,0,hit
1762970907411069,READ,0,0,0,hit
1762970907411132,READ,0,0,0,hit
1762970907411194,READ,0,0,0,hit
1762970907411256,READ,0,0,0,hit
1762970907411319,READ,0,0,0,hit
1762970907411470,READ,0,0,0,hit
1762970907411564,READ,0,0,0,hit
1762970907411651,READ,0,0,0,hit
1762970907411738,READ,0,0,0,hit
1762970907411823,READ,0,0,0,hit
1762970907411909,READ,0,0,0,hit
1762970907411994,READ,0,0,0,hit
1762970907412079,READ,0,0,0,hit
1762970907412163,READ,0,0,0,hit
1762970907412248,READ,0,0,0,hit
1762970907412332,READ,0,0,0,hit
1762970907412419,READ,0,0,0,hit
1762970907412505,READ,0,0,0,hit
1762970907412590,READ,0,0,0,hit
1762970907412675,READ,0,0,0,hit
1762970907412761,READ,0,0,0,hit
1762970907412847,READ,0,0,0,hit
1762970907412931,READ,0,0,0,hit
1762970907413017,READ,0,0,0,hit
1762970907413102,READ,0,0,0,hit
1762970907413187,READ,0,0,0,hit
1762970907413274,READ,0,0,0,hit
1762970907413377,READ,0,0,0,hit
1762970907413465,READ,0,0,0,hit
1762970907413551,READ,0,0,0,hit
1762970907413636,READ,0,0,0,hit
1762970907413722,READ,0,0,0,hit
1762970907413808,READ,0,0,0,hit
1762970907413894,READ,0,0,0,hit
1762970907413979,READ,0,0,0,hit
1762970907414064,READ,0,0,0,hit
1762970907414150,READ,0,0,0,hit
1762970907414236,READ,0,0,0,hit
1762970907414409,READ,0,0,0,hit
1762970907414499,READ,0,0,0,hit
1762970907414585,READ,0,0,0,hit
1762970907414675,READ,0,0,0,hit
1762970907414837,READ,0,0,0,hit
1762970907415226,READ,0,0,0,hit
1762970907415434,READ,0,0,0,hit
1762970907415647,READ,0,0,0,hit
1762970907415843,READ,0,0,0,hit
1762970907416034,READ,0,0,0,hit
1762970907416153,READ,0,0,0,hit
1762970907416262,READ,0,0,0,hit
1762970907416367,READ,0,0,0,hit
1762970907416474,READ,0,0,0,hit
1762970907416578,READ,0,0,0,hit
1762970907416704,READ,0,0,0,hit
1762970907416824,READ,0,0,0,hit
1762970907416932,READ,0,0,0,hit
1762970907417038,READ,0,0,0,hit
1762970907417142,READ,0,0,0,hit
1762970907417248,READ,0,0,0,hit
1762970907417353,READ,0,0,0,hit
1762970907417458,READ,0,0,0,hit
1762970907417566,READ,0,0,0,hit
1762970907417672,READ,0,0,0,hit
1762970907417780,READ,0,0,0,hit
1762970907417886,READ,0,0,0,hit
1762970907417990,READ,0,0,0,hit
1762970907418094,READ,0,0,0,hit
1762970907418198,READ,0,0,0,hit
1762970907418302,READ,0,0,0,hit
1762970907418407,READ,0,0,0,hit
1762970907418512,READ,0,0,0,hit
1762970907418619,READ,0,0,0,hit
1762970907418726,READ,0,0,0,hit
1762970907418830,READ,0,0,0,hit
1762970907418935,READ,0,0,0,hit
1762970907419041,READ,0,0,0,hit
1762970907419146,READ,0,0,0,hit
1762970907419249,READ,0,0,0,hit
1762970907419355,READ,0,0,0,hit
1762970907419458,READ,0,0,0,hit
1762970907419562,READ,0,0,0,hit
1762970907419669,READ,0,0,0,hit
1762970907419772,READ,0,0,0,hit
1762970907419880,READ,0,0,0,hit
1762970907419987,READ,0,0,0,hit
1762970907420132,READ,0,0,0,hit
1762970907420242,READ,0,0,0,hit
1762970907420350,READ,0,0,0,hit
1762970907420459,READ,0,0,0,hit
1762970907420569,READ,0,0,0,hit
1762970907420680,READ,0,0,0,hit
1762970907420794,READ,0,0,0,hit
1762970907420918,READ,0,0,0,hit
1762970907421031,READ,0,0,0,hit
1762970907421143,READ,0,0,0,hit
1762970907421253,READ,0,0,0,hit
1762970907421376,READ,0,0,0,hit
1762970907421490,READ,0,0,0,hit
1762970907421602,READ,0,0,0,hit
1762970907421716,READ,0,0,0,hit
1762970907421841,READ,0,0,0,hit
1762970907421956,READ,0,0,0,hit
1762970907422071,READ,0,0,0,hit
1762970907422185,READ,0,0,0,hit
1762970907422297,READ,0,0,0,hit
1762970907422409,READ,0,0,0,hit
1762970907422524,READ,0,0,0,hit
1762970907422635,READ,0,0,0,hit
1762970907422748,READ,0,0,0,hit
1762970907422862,READ,0,0,0,hit
1762970907422974,READ,0,0,0,hit
1762970907423091,READ,0,0,0,hit
1762970907423220,READ,0,0,0,hit
1762970907423361,READ,0,0,0,hit
1762970907423501,READ,0,0,0,hit
1762970907424407,READ,0,0,0,hit
1762970907424534,READ,0,0,0,hit
1762970907424618,READ,0,0,0,hit
1762970907424698,READ,0,0,0,hit
1762970907424778,READ,0,0,0,hit
1762970907424855,READ,0,0,0,hit
1762970907424938,READ,0,0,0,hit
1762970907425016,READ,0,0,0,hit
1762970907425099,READ,0,0,0,hit
1762970907425177,READ,0,0,0,hit
1762970907425261,READ,0,0,0,hit
1762970907425341,READ,0,0,0,hit
1762970907425419,READ,0,0,0,hit
1762970907425497,READ,0,0,0,hit
1762970907425576,READ,0,0,0,hit
1762970907425656,READ,0,0,0,hit
1762970907425737,READ,0,0,0,hit
1762970907425814,READ,0,0,0,hit
1762970907425895,READ,0,0,0,hit
1762970907425976,READ,0,0,0,hit
1762970907426056,READ,0,0,0,hit
1762970907426141,READ,0,0,0,hit
1762970907426227,READ,0,0,0,hit
1762970907426304,READ,0,0,0,hit
1762970907426385,READ,0,0,0,hit
1762970907426466,READ,0,0,0,hit
